City,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Raleigh, NC",University Park,Spa,Yoga Studio,Residential Building (Apartment / Condo),Park,Café,Pizza Place,Kids Store,Burrito Place,Deli / Bodega,Financial or Legal Service
"Raleigh, NC",Warehouse District,American Restaurant,Gay Bar,Art Gallery,Clothing Store,Beer Store,Wine Bar,Coffee Shop,Lounge,Bar,Nightclub
"Raleigh, NC",West Raleigh Historic District,Bar,Coffee Shop,Italian Restaurant,Cocktail Bar,Music Venue,American Restaurant,Gastropub,Southern / Soul Food Restaurant,Sushi Restaurant,Park
"Raleigh, NC",Wilder's Grove,Convenience Store,Pharmacy,Construction & Landscaping,Asian Restaurant,Sandwich Place,Automotive Shop,Coffee Shop,Cosmetics Shop,Gas Station,Video Store
"Richmond, VA",Arts District,Hotel,Sandwich Place,Café,Sports Bar,Southern / Soul Food Restaurant,General Entertainment,Gay Bar,Taco Place,Men's Store,French Restaurant
"Richmond, VA",Bellevue,Yoga Studio,American Restaurant,Bar,Gourmet Shop,Coffee Shop,Auto Workshop,Flower Shop,Italian Restaurant,Mexican Restaurant,Pizza Place
"Richmond, VA",Biotech and MCV,Coffee Shop,History Museum,Scenic Lookout,College Gym,Food Truck,Bookstore,Café,Fast Food Restaurant,Library,Bagel Shop
"Richmond, VA",Byrd Park,Park,Art Gallery,Food Truck,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio,Financial or Legal Service
"Richmond, VA",Carytown,Fast Food Restaurant,American Restaurant,Candy Store,Boutique,Thai Restaurant,Thrift / Vintage Store,Arts & Crafts Store,Burger Joint,Women's Store,Indian Restaurant
"Richmond, VA",Church Hill,Bakery,New American Restaurant,Bridal Shop,BBQ Joint,Pub,Park,Sandwich Place,Southern / Soul Food Restaurant,Gift Shop,Thai Restaurant
"Richmond, VA",City Center,Hotel,Sandwich Place,Café,Taco Place,Korean Restaurant,Library,German Restaurant,General Entertainment,Gay Bar,Men's Store
"Richmond, VA",Colonial Place,Business Service,Film Studio,Flower Shop,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Financial or Legal Service,Fish Market,Floating Market
"Richmond, VA",Court End,Scenic Lookout,Hotel,Museum,Music Venue,American Restaurant,Library,History Museum,Coffee Shop,Bookstore,College Gym
"Richmond, VA",Highland Park,Restaurant,American Restaurant,Bus Stop,Yoga Studio,Floating Market,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio
"Richmond, VA",Jackson Ward,Southern / Soul Food Restaurant,French Restaurant,Café,History Museum,Men's Store,Art Gallery,Gay Bar,Bar,Thai Restaurant,Coffee Shop
"Richmond, VA",Midtown,Brewery,Mexican Restaurant,Pizza Place,Convenience Store,Sports Bar,Market,Theme Restaurant,Museum,Thai Restaurant,Bar
"Richmond, VA",Monroe Ward,Hotel,New American Restaurant,Brewery,Tex-Mex Restaurant,Coffee Shop,French Restaurant,Mediterranean Restaurant,Lounge,Deli / Bodega,Advertising Agency
"Richmond, VA",Newtowne West,Music Venue,Paella Restaurant,Storage Facility,Theater,Grocery Store,Gas Station,Nightclub,Hardware Store,Donut Shop,Supermarket
"Richmond, VA",Scott's Addition,Brewery,Yoga Studio,BBQ Joint,Restaurant,Coffee Shop,New American Restaurant,Café,Social Club,Breakfast Spot,Market
"Richmond, VA",Shockoe Bottom,Gym,Smoke Shop,Bar,Southern / Soul Food Restaurant,Burger Joint,Pub,New American Restaurant,Bakery,Farmers Market,Fried Chicken Joint
"Richmond, VA",Shockoe Slip,Pub,Trail,Pizza Place,Coffee Shop,Hotel,Wine Bar,Farmers Market,Seafood Restaurant,Clothing Store,Hot Dog Joint
"Richmond, VA",Stoney Point,Clothing Store,Kids Store,Candy Store,Pet Store,Cosmetics Shop,Jewelry Store,Department Store,Lingerie Store,Optical Shop,Coffee Shop
"Richmond, VA",Three Corners,Hotel,Sandwich Place,Coffee Shop,Mexican Restaurant,Park,Food Truck,Italian Restaurant,Shoe Store,Lounge,Bookstore
"Richmond, VA",Tobacco Row,Gym,Park,Burger Joint,Speakeasy,Seafood Restaurant,Liquor Store,Sake Bar,Grocery Store,Coffee Shop,Bar
"Richmond, VA",Westhampton,Sandwich Place,American Restaurant,Yoga Studio,Travel & Transport,Jewelry Store,Men's Store,Coffee Shop,Seafood Restaurant,Shipping Store,Cantonese Restaurant
"Richmond, VA",Willow Lawn,Cosmetics Shop,Spa,Shoe Store,Mediterranean Restaurant,Mexican Restaurant,Clothing Store,Fast Food Restaurant,Supermarket,Food Truck,Sporting Goods Shop
"Virginia Beach, VA",Aragona Village,Korean Restaurant,Baseball Field,Restaurant,Grocery Store,Coffee Shop,Bar,Park,Bakery,Mediterranean Restaurant,Garden Center
"Virginia Beach, VA",Bayside,Asian Restaurant,Breakfast Spot,Salon / Barbershop,Convenience Store,Video Store,Discount Store,Ice Cream Shop,Mediterranean Restaurant,Smoothie Shop,Shopping Plaza
"Virginia Beach, VA",Croatan Beach,Beach,Surf Spot,Boat or Ferry,Hotel Pool,Seafood Restaurant,Hotel,Harbor / Marina,Café,Gift Shop,Skating Rink
"Virginia Beach, VA",Great Neck Point,Seafood Restaurant,Event Space,Boat or Ferry,Fish Market,Bar,Donut Shop,Food & Drink Shop,Food Court,Food,Fondue Restaurant
"Virginia Beach, VA",Green Run,Restaurant,Market,Bakery,Ice Cream Shop,Lounge,Grocery Store,Gym / Fitness Center,Chinese Restaurant,Thrift / Vintage Store,Check Cashing Service
"Virginia Beach, VA",Kempsville,Pizza Place,Bar,American Restaurant,BBQ Joint,Chinese Restaurant,Salon / Barbershop,Supermarket,Discount Store,Southern / Soul Food Restaurant,Fried Chicken Joint
"Virginia Beach, VA",London Bridge,Sandwich Place,Convenience Store,Bar,Grocery Store,Intersection,Shop & Service,Sushi Restaurant,Bike Shop,Supermarket,Fried Chicken Joint
"Virginia Beach, VA",Lynnhaven,Pizza Place,American Restaurant,Gym,ATM,Athletics & Sports,Convenience Store,Chinese Restaurant,Café,Business Service,Breakfast Spot
"Virginia Beach, VA",Newtown,Convenience Store,Hotel,Pizza Place,Fast Food Restaurant,Thrift / Vintage Store,Hot Dog Joint,Toy / Game Store,Pharmacy,Sandwich Place,Smoke Shop
"Virginia Beach, VA",Ocean Park,Beach,Sushi Restaurant,Nature Preserve,Scenic Lookout,Coffee Shop,BBQ Joint,Trail,Harbor / Marina,Surf Spot,Beach Bar
"Virginia Beach, VA",Pembroke Manor,Shoe Store,Pizza Place,Accessories Store,Department Store,Sushi Restaurant,Grocery Store,Bus Stop,Clothing Store,Chinese Restaurant,Big Box Store
"Virginia Beach, VA",Red Mill Commons,Italian Restaurant,Ice Cream Shop,Spa,Big Box Store,Gastropub,Seafood Restaurant,Mexican Restaurant,Restaurant,Coffee Shop,Pharmacy
"Virginia Beach, VA",Sandbridge,Beach,Resort,Speakeasy,Harbor / Marina,Travel & Transport,Bar,Film Studio,Exhibit,Eye Doctor,Falafel Restaurant
"Virginia Beach, VA",Thalia,American Restaurant,Sandwich Place,Shipping Store,Food Truck,Breakfast Spot,Sporting Goods Shop,Spa,Massage Studio,Boutique,Burrito Place
"Virginia Beach, VA",The North End,Beach,Trail,Spa,Surf Spot,Historic Site,Yoga Studio,Fish Market,Falafel Restaurant,Farmers Market,Fast Food Restaurant
"Washington, DC",Adams Morgan,Bar,Coffee Shop,Ice Cream Shop,Asian Restaurant,Mobile Phone Shop,Bakery,Karaoke Bar,Grocery Store,Shipping Store,Ramen Restaurant
"Washington, DC",Bellevue,Chinese Restaurant,Spa,Fish Market,Exhibit,Eye Doctor,Falafel Restaurant,Farmers Market,Fast Food Restaurant,Filipino Restaurant,Film Studio
"Washington, DC",Brentwood,Clothing Store,Video Store,Sandwich Place,Liquor Store,Bank,Shoe Store,Mattress Store,Shopping Mall,Asian Restaurant,Arts & Crafts Store
"Washington, DC",Brightwood,Chinese Restaurant,Mexican Restaurant,Laundromat,Thrift / Vintage Store,Convenience Store,Discount Store,Pizza Place,Historic Site,South American Restaurant,Café
"Washington, DC",Capitol Hill,Deli / Bodega,Mexican Restaurant,American Restaurant,Bank,Donut Shop,Sushi Restaurant,Taco Place,Seafood Restaurant,Chinese Restaurant,Salon / Barbershop
"Washington, DC",Chinatown,Ramen Restaurant,Italian Restaurant,Hotel,Basketball Stadium,Thai Restaurant,Japanese Restaurant,Asian Restaurant,Indian Restaurant,Coffee Shop,American Restaurant
"Washington, DC",Downtown,Hotel,Juice Bar,American Restaurant,Salon / Barbershop,Coffee Shop,Museum,Sandwich Place,Hotel Bar,Food Truck,Bowling Alley
"Washington, DC",Dupont Circle,Bakery,Coffee Shop,Bookstore,Cosmetics Shop,Restaurant,Hotel,Men's Store,Mediterranean Restaurant,Massage Studio,Yoga Studio
"Washington, DC",Federal Triangle,Café,Sandwich Place,Coffee Shop,Steakhouse,Brazilian Restaurant,Sculpture Garden,Bike Rental / Bike Share,Shipping Store,Sushi Restaurant,Gym
"Washington, DC",Foggy Bottom,Hotel,American Restaurant,Mediterranean Restaurant,Grocery Store,Sandwich Place,Farmers Market,Salad Place,Coffee Shop,Vegetarian / Vegan Restaurant,Rental Car Location
"Washington, DC",Georgetown,Bakery,Vietnamese Restaurant,Bank,Pizza Place,Gas Station,Thai Restaurant,Market,Men's Store,French Restaurant,Ice Cream Shop
"Washington, DC",Ivy City,Cosmetics Shop,Cocktail Bar,Sports Bar,Brewery,Mexican Restaurant,New American Restaurant,Organic Grocery,Seafood Restaurant,Food Truck,Gym / Fitness Center
"Washington, DC",Kalorama,Italian Restaurant,Spa,Thai Restaurant,Coffee Shop,Salon / Barbershop,Hotel,Grocery Store,Tea Room,Gourmet Shop,Korean Restaurant
"Washington, DC",Logan Circle,Cycle Studio,Arcade,Theater,Spanish Restaurant,Park,Laundry Service,Coffee Shop,Beer Bar,Gay Bar,Burger Joint
"Washington, DC",Mount Pleasant,Latin American Restaurant,Thai Restaurant,Yoga Studio,Spanish Restaurant,Café,Filipino Restaurant,Farmers Market,Grocery Store,Sandwich Place,Bar
"Washington, DC",Mount Vernon Square,American Restaurant,Hotel,New American Restaurant,Coffee Shop,Pizza Place,Persian Restaurant,Burger Joint,Building,Smoke Shop,Liquor Store
"Washington, DC",Mount Vernon Triangle,Italian Restaurant,Hotel,New American Restaurant,American Restaurant,Gym / Fitness Center,Café,Salad Place,Chinese Restaurant,Coffee Shop,Gym
"Washington, DC",Navy Yard,Clothing Store,Coffee Shop,Portuguese Restaurant,Juice Bar,Pizza Place,Brewery,Café,Supermarket,Supplement Shop,New American Restaurant
"Washington, DC",NoMa,Sandwich Place,Gym,Coffee Shop,Food Truck,Gym / Fitness Center,Park,Beer Garden,Pharmacy,Supermarket,Floating Market
"Washington, DC",Observatory Circle,Yoga Studio,Pizza Place,Escape Room,Gym,Liquor Store,Southern / Soul Food Restaurant,Shipping Store,Sandwich Place,Salad Place,Playground
"Washington, DC",Park View,Beer Garden,Yoga Studio,Asian Restaurant,Pizza Place,Seafood Restaurant,Café,Southern / Soul Food Restaurant,Tapas Restaurant,Liquor Store,Latin American Restaurant
"Washington, DC",Penn Quarter,Pizza Place,American Restaurant,Art Museum,Theater,Thai Restaurant,Bar,Basketball Stadium,Cocktail Bar,Salad Place,Seafood Restaurant
"Washington, DC",Petworth,Pizza Place,Ice Cream Shop,Latin American Restaurant,Mexican Restaurant,Farmers Market,Chinese Restaurant,Lounge,Grocery Store,BBQ Joint,Thrift / Vintage Store
"Washington, DC",Pleasant Plains,Sandwich Place,College Library,Caribbean Restaurant,Frozen Yogurt Shop,Pizza Place,Middle Eastern Restaurant,Mexican Restaurant,Shoe Store,Coffee Shop,Film Studio
"Washington, DC",Shaw,Liquor Store,Ethiopian Restaurant,Dive Bar,Beer Garden,Market,Asian Restaurant,Floating Market,Historic Site,Sushi Restaurant,African Restaurant
"Washington, DC",Sheridan Kalorama,Italian Restaurant,Spa,Thai Restaurant,Coffee Shop,Salon / Barbershop,Hotel,Grocery Store,Tea Room,Gourmet Shop,Korean Restaurant
"Washington, DC",Southwest Federal Center,Food Truck,Coffee Shop,Donut Shop,French Restaurant,Deli / Bodega,Food & Drink Shop,Mexican Restaurant,Mediterranean Restaurant,Bike Rental / Bike Share,Bakery
"Washington, DC",Swampoodle,Gym,Performing Arts Venue,Sculpture Garden,Brewery,Indian Restaurant,Sporting Goods Shop,Office,Restaurant,Park,Coffee Shop
"Washington, DC",Truxton Circle,Art Gallery,Sandwich Place,Winery,Bus Line,Bar,Intersection,Cosmetics Shop,Seafood Restaurant,Bakery,Chinese Restaurant
"Washington, DC",U Street Corridor,Bar,Gay Bar,Ethiopian Restaurant,Pizza Place,Taco Place,New American Restaurant,Music Venue,Sandwich Place,Speakeasy,Thai Restaurant
"Washington, DC",West End,Hotel,Hotel Bar,Steakhouse,Breakfast Spot,Road,Trail,New American Restaurant,Sushi Restaurant,Dog Run,Shipping Store
