Neighborhood,City,State,Neighborhood Latitude,Neighborhood Longitude,Radius
Armistead Gardens,Baltimore,MD,39.3049721,-76.55315809999999,250.0
Belair-Edison,Baltimore,MD,39.3216614,-76.5737173,250.0
Belair-Parkside,Baltimore,MD,39.3297931,-76.5665235,250.0
Beverly Hills,Baltimore,MD,39.3392737,-76.5702439,250.0
Cedmont,Baltimore,MD,39.3462558,-76.53581729999999,250.0
Cedonia,Baltimore,MD,39.3306314,-76.53292689999999,250.0
Christopher,Baltimore,MD,39.362041,-76.5618277,250.0
Coldstream-Homestead-Montebello,Baltimore,MD,39.3227872,-76.59649999999999,250.0
Orchard Ridge,Baltimore,MD,39.3120872,-76.5597603,250.0
Ednor Gardens-Lakeside,Baltimore,MD,39.3304324,-76.59649999999999,250.0
Four by Four,Baltimore,MD,39.2825192,-76.602252,250.0
Frankford,Baltimore,MD,39.33110790000001,-76.54359769999999,250.0
Gardenville,Baltimore,MD,39.3309404,-76.5610767,250.0
Glenham-Belford,Baltimore,MD,39.3493942,-76.5517132,250.0
Hamilton,Baltimore,MD,39.35649590000001,-76.5569101,250.0
Harford-Echodale-Perring Parkway,Baltimore,MD,39.3616138,-76.56905189999999,250.0
Hillen,Baltimore,MD,39.33994939999999,-76.590722,250.0
Hollander Ridge,Baltimore,MD,39.315895,-76.5322043,250.0
Idlewood,Baltimore,MD,39.37010679999999,-76.5891338,250.0
Lauraville,Baltimore,MD,39.3455647,-76.5733862,250.0
Loch Raven,Baltimore,MD,39.3881624,-76.5696889,250.0
Mayfield,Baltimore,MD,39.328406,-76.579165,250.0
Mayfield-Montebello,Baltimore,MD,39.328406,-76.579165,250.0
Moravia-Walther,Baltimore,MD,39.3394546,-76.56471739999999,250.0
Morgan Park,Baltimore,MD,39.3467737,-76.5788554,250.0
North Harford Road,Baltimore,MD,39.3669694,-76.5387076,250.0
"Northwood, Baltimore",Baltimore,MD,39.3421205,-76.5982801,250.0
Overlea,Baltimore,MD,39.3589694,-76.5177855,250.0
Parkside,Baltimore,MD,39.3297931,-76.5665235,250.0
Perring-Loch,Baltimore,MD,39.3520117,-76.5849436,250.0
Ramblewood,Baltimore,MD,39.3628758,-76.590722,250.0
Rosemont Avenue,Baltimore,MD,39.3562279,-76.534415,250.0
Stonewood-Pentwood-Winston,Baltimore,MD,39.3482407,-76.5892689,250.0
Taylor Heights,Baltimore,MD,39.3688371,-76.53292689999999,250.0
Waltherson,Baltimore,MD,39.3435341,-76.5560481,250.0
Westfield,Baltimore,MD,39.3595821,-76.5517132,250.0
Wilson Heights,Baltimore,MD,39.3345729,-76.5611052,250.0
Woodring,Baltimore,MD,39.3625548,-76.544488,250.0
Allendale,Baltimore,MD,39.2917978,-76.6752002,250.0
Bridgeview-Greenlawn,Baltimore,MD,39.3014786,-76.6542664,250.0
Coppin Heights,Baltimore,MD,39.3069138,-76.65715399999999,250.0
Easterwood,Baltimore,MD,39.3080704,-76.6506567,250.0
Edmondson Village,Baltimore,MD,39.2968471,-76.6802526,250.0
Evergreen Lawn,Baltimore,MD,39.2971002,-76.6549883,250.0
Franklin Square,Baltimore,MD,39.2899349,-76.6427152,250.0
Harlem Park,Baltimore,MD,39.2972489,-76.6398272,250.0
Heritage Crossing,Baltimore,MD,39.2966251,-76.6289968,250.0
Lexington,Baltimore,MD,39.2909427,-76.6513787,250.0
Midtown-Edmondson,Baltimore,MD,39.296043,-76.6513787,250.0
Mondawmin,Baltimore,MD,39.3142264,-76.6542664,250.0
Mosher,Baltimore,MD,39.2973857,-76.66292899999999,250.0
Panway-Braddish,Baltimore,MD,39.3132375,-76.6622072,250.0
Penn-North,Baltimore,MD,39.3128825,-76.6427152,250.0
Poppleton,Baltimore,MD,39.2914764,-76.6340511,250.0
Sandtown-Winchester,Baltimore,MD,39.3041275,-76.6441591,250.0
Union Square,Baltimore,MD,39.286663,-76.6419932,250.0
Upton,Baltimore,MD,39.3016759,-76.6340511,250.0
Walbrook,Baltimore,MD,39.3108055,-76.6687038,250.0
Bolton Hill,Baltimore,MD,39.308315,-76.62538649999999,250.0
Charles Center,Baltimore,MD,39.2893911,-76.6156864,250.0
Cathedral Hill,Baltimore,MD,39.2995956,-76.61717279999999,250.0
Bromo Arts District,Baltimore,MD,39.2949427,-76.6198127,250.0
Preston Gardens,Baltimore,MD,39.29351339999999,-76.61392289999999,250.0
Downtown,Baltimore,MD,39.292007,-76.6167212,250.0
Druid Heights,Baltimore,MD,39.3091075,-76.6376612,250.0
Inner Harbor,Baltimore,MD,39.2858482,-76.61311049999999,250.0
Lakeview Towers,Baltimore,MD,39.316558,-76.6322496,250.0
Lexington Terrace,Baltimore,MD,39.29280019999999,-76.6289968,250.0
Madison Park,Baltimore,MD,39.3057172,-76.6304409,250.0
Market Center,Baltimore,MD,39.2922496,-76.6223539,250.0
McCulloh Homes,Baltimore,MD,39.3005581,-76.6271916,250.0
Midtown-Belvedere,Baltimore,MD,39.3047554,-76.6167212,250.0
Mount Vernon,Baltimore,MD,39.2993194,-76.6138327,250.0
Otterbein,Baltimore,MD,39.2821913,-76.6145548,250.0
Reservoir Hill,Baltimore,MD,39.314423,-76.6340511,250.0
Ridgely's Delight,Baltimore,MD,39.284645,-76.6246644,250.0
Seton Hill,Baltimore,MD,39.295567,-76.62538649999999,250.0
Somerset Homes,Baltimore,MD,39.2962511,-76.60119449999999,250.0
Station North,Baltimore,MD,39.3098541,-76.6167212,250.0
Berea,Baltimore,MD,39.3105659,-76.579165,250.0
Biddle Street,Baltimore,MD,39.3044615,-76.58994950000002,250.0
Broadway East,Baltimore,MD,39.3090304,-76.5878328,250.0
Darley Park,Baltimore,MD,39.3158015,-76.5939721,250.0
Douglass Homes,Baltimore,MD,39.294025,-76.5957778,250.0
Dunbar-Broadway,Baltimore,MD,39.2964059,-76.5943333,250.0
East Baltimore Midway,Baltimore,MD,39.31471000000001,-76.60372219999999,250.0
Eager Park,Baltimore,MD,39.300987,-76.5912637,250.0
Ellwood Park,Baltimore,MD,39.29714389999999,-76.5733862,250.0
Gay Street,Baltimore,MD,39.2924976,-76.6087081,250.0
Greenmount West,Baltimore,MD,39.3091802,-76.6109441,250.0
Johnston Square,Baltimore,MD,39.3037445,-76.6080554,250.0
Latrobe Homes,Baltimore,MD,39.2995515,-76.6030224,250.0
Madison-Eastend,Baltimore,MD,39.3007532,-76.576998,250.0
McElderry Park,Baltimore,MD,39.297436,-76.581332,250.0
Milton-Montford,Baltimore,MD,39.3003232,-76.5842213,250.0
Old Town,Baltimore,MD,39.297418,-76.603,250.0
Oliver,Baltimore,MD,39.3078314,-76.599389,250.0
Orangeville,Baltimore,MD,39.2987184,-76.5496869,250.0
Penn-Fallsway,Baltimore,MD,39.2968175,-76.6087776,250.0
Pleasant View Gardens,Baltimore,MD,39.2934248,-76.6015556,250.0
Somerset Holmes-Monument East,Baltimore,MD,39.2962511,-76.60119449999999,250.0
South Clifton Park,Baltimore,MD,39.3135755,-76.5885551,250.0
Barre Circle,Baltimore,MD,39.2847048,-76.6279137,250.0
Beechfield,Baltimore,MD,39.276234,-76.70046049999999,250.0
Bentalou-Smallwood,Baltimore,MD,39.28257,-76.6506567,250.0
Booth-Boyd,Baltimore,MD,39.2872262,-76.6495738,250.0
Carrollton Ridge,Baltimore,MD,39.2829557,-76.6484909,250.0
Carroll South,Baltimore,MD,39.2827544,-76.6687038,250.0
Dickeyville,Baltimore,MD,39.3189954,-76.7035822,250.0
Edmondson,Baltimore,MD,39.2968471,-76.6802526,250.0
Fairmount,Baltimore,MD,39.3090431,-76.6809744,250.0
Franklintown,Baltimore,MD,39.3052934,-76.70912,250.0
Gwynn's Falls,Baltimore,MD,39.2776528,-76.6687038,250.0
Hillside Park,Baltimore,MD,39.2800597,-76.69647859999999,250.0
Hilton,Baltimore,MD,39.2859215,-76.6214512,250.0
Hollins Market,Baltimore,MD,39.2869295,-76.6333291,250.0
Irvington,Baltimore,MD,39.2828845,-76.6860811,250.0
Mill Hill,Baltimore,MD,39.2788618,-76.65715399999999,250.0
Monastery Gardens,Baltimore,MD,39.2846245,-76.681462,250.0
Morrell Park,Baltimore,MD,39.2646339,-76.6547794,250.0
Mount Holly,Baltimore,MD,39.31253239999999,-76.6780873,250.0
Oaklee,Baltimore,MD,39.2683763,-76.684944,250.0
Pigtown,Baltimore,MD,39.2812753,-76.6340511,250.0
Pratt Monroe,Baltimore,MD,39.2826198,-76.6456031,250.0
Primrose Place,Baltimore,MD,39.2744267,-76.6720342,250.0
Rognel Heights,Baltimore,MD,39.2953015,-76.68891359999999,250.0
Saint Agnes,Baltimore,MD,39.2750508,-76.67375659999999,250.0
Saint Joseph's,Baltimore,MD,39.2859754,-76.6744784,250.0
Shipley Hill,Baltimore,MD,39.2865135,-76.65715399999999,250.0
Sowebo,Baltimore,MD,39.288578,-76.63812759999999,250.0
Ten Hills,Baltimore,MD,39.2842733,-76.7010817,250.0
Tremont,Baltimore,MD,39.2834951,-76.6943263,250.0
Uplands,Baltimore,MD,39.2875405,-76.6907178,250.0
Violetville,Baltimore,MD,39.2654186,-76.67381060000001,250.0
Wakefield,Baltimore,MD,39.31260650000001,-76.6980264,250.0
Wallbrook,Baltimore,MD,39.3108055,-76.6687038,250.0
Westgate,Baltimore,MD,39.2842214,-76.7033471,250.0
West Hills,Baltimore,MD,39.2950925,-76.70912,250.0
West Mullberry,Baltimore,MD,39.2933542,-76.63402219999999,250.0
Western,Baltimore,MD,39.2922854,-76.66292899999999,250.0
West Pratt,Baltimore,MD,39.2856532,-76.636544,250.0
Winchester,Baltimore,MD,39.3041275,-76.6441591,250.0
Yale Heights,Baltimore,MD,39.2752305,-76.69180039999999,250.0
Arundel Cove,Baltimore,MD,39.2030346,-76.5670833,250.0
Brooklyn,Baltimore,MD,39.2381955,-76.60372219999999,250.0
Brooklyn Homes,Baltimore,MD,39.2292743,-76.60024380000002,250.0
Cherry Hill,Baltimore,MD,39.2490357,-76.6251606,250.0
Curtis Bay,Baltimore,MD,39.2208578,-76.5863882,250.0
Fairfield,Baltimore,MD,39.2378854,-76.5791318,250.0
Federal Hill,Baltimore,MD,39.279304,-76.6116662,250.0
Harborview,Baltimore,MD,39.2775288,-76.60431559999999,250.0
Hawkins Point,Baltimore,MD,39.2072675,-76.557493,250.0
Lakeland,Baltimore,MD,39.2530783,-76.64659019999999,250.0
Locust Point,Baltimore,MD,39.2680512,-76.59105919999999,250.0
Masonville,Baltimore,MD,39.243163,-76.5905212,250.0
Mount Winans,Baltimore,MD,39.2614905,-76.64488109999999,250.0
Port Covington,Baltimore,MD,39.2613248,-76.6089449,250.0
Riverside,Baltimore,MD,39.2729056,-76.6083646,250.0
South Balto.Imp.Comm./West Federal Hill,Baltimore,MD,39.2763123,-76.6114039,250.0
Sharp-Leadenhall,Baltimore,MD,39.2787025,-76.61744329999999,250.0
Shoreline,Baltimore,MD,39.2449717,-76.5867317,250.0
South Baltimore,Baltimore,MD,39.2704952,-76.61512379999999,250.0
Wagner's Point,Baltimore,MD,39.2341447,-76.56905189999999,250.0
Westport,Baltimore,MD,39.2631197,-76.6339404,250.0
Baltimore Highlands,Baltimore,MD,39.2935798,-76.56471739999999,250.0
Bayview or Hopkins Bayview,Baltimore,MD,39.2915618,-76.5458818,250.0
Brewer's Hill,Baltimore,MD,39.2802377,-76.5662741,250.0
Butchers Hill,Baltimore,MD,39.2930123,-76.5871105,250.0
Canton,Baltimore,MD,39.2821834,-76.5762756,250.0
Dunbar,Baltimore,MD,39.2953274,-76.59891549999999,250.0
Eastwood,Baltimore,MD,39.2857707,-76.5408001,250.0
Fells Point,Baltimore,MD,39.2842097,-76.593611,250.0
West Federal Hill,Baltimore,MD,39.2704952,-76.61512379999999,250.0
Fifteenth Street,Baltimore,MD,39.2874652,-76.5560481,250.0
Graceland Park,Baltimore,MD,39.2822044,-76.53292689999999,250.0
Greektown,Baltimore,MD,39.2851297,-76.55243569999999,250.0
Harbor East,Baltimore,MD,39.2832248,-76.6015556,250.0
Harbor Point,Baltimore,MD,39.2806216,-76.5984511,250.0
Highlandtown,Baltimore,MD,39.2887746,-76.56674919999999,250.0
Jonestown,Baltimore,MD,39.2903218,-76.6022778,250.0
Joseph Lee,Baltimore,MD,39.28904319999999,-76.5423204,250.0
Kresson,Baltimore,MD,39.2960052,-76.5582154,250.0
Little Italy,Baltimore,MD,39.2844999,-76.6015556,250.0
Medford-Broening Highway,Baltimore,MD,39.2769852,-76.5436646,250.0
O'Donnell Heights,Baltimore,MD,39.2781219,-76.54159779999999,250.0
Patterson Park,Baltimore,MD,39.2898331,-76.5762756,250.0
Patterson Place,Baltimore,MD,39.2935885,-76.58386019999999,250.0
Perkins Homes,Baltimore,MD,39.2876504,-76.5957778,250.0
St Helena,Baltimore,MD,39.2623558,-76.5322043,250.0
Upper Fells Point,Baltimore,MD,39.2886346,-76.5878328,250.0
Washington Hill,Baltimore,MD,39.2902003,-76.5957778,250.0
Ballantyne,Charlotte,NC,35.0469079,-80.8454702,700.0
Biddleville,Charlotte,NC,35.2445936,-80.8576911,700.0
Brooklyn,Charlotte,NC,35.2201046,-80.84193069999999,700.0
Chantilly,Charlotte,NC,35.2121282,-80.8087103,700.0
Uptown Charlotte,Charlotte,NC,35.2272302,-80.8460822,700.0
Cherry,Charlotte,NC,35.2110901,-80.8308587,700.0
Cotswold,Charlotte,NC,35.18487,-80.7907103,700.0
Coulwood,Charlotte,NC,35.2979174,-80.9445178,700.0
Derita,Charlotte,NC,35.2937526,-80.7975707,700.0
Dilworth,Charlotte,NC,35.2058551,-80.8516173,700.0
Eastland,Charlotte,NC,35.219619,-80.74638519999999,700.0
"Eastover, Charlotte",Charlotte,NC,35.1924313,-80.818401,700.0
Elizabeth,Charlotte,NC,35.2142287,-80.818401,700.0
Grier Heights,Charlotte,NC,35.1970375,-80.8073259,700.0
Hidden Valley,Charlotte,NC,35.2788395,-80.7759318,700.0
Highland Creek,Charlotte,NC,35.3780263,-80.7604628,700.0
"Madison Park, Charlotte",Charlotte,NC,35.1650179,-80.8502663,700.0
"Mountain Island, North Carolina",Charlotte,NC,35.3395516,-80.9264487,700.0
Myers Park,Charlotte,NC,35.1797081,-80.8261849,700.0
NoDa,Charlotte,NC,35.2456474,-80.80178769999999,700.0
Old North Charlotte,Charlotte,NC,35.2456474,-80.80178769999999,700.0
Parkdale,Charlotte,NC,35.251673,-80.90584799999999,700.0
Paw Creek,Charlotte,NC,35.2788586,-80.9301052,700.0
Plaza-Midwood,Charlotte,NC,35.2238589,-80.80178769999999,700.0
Quail Hollow,Charlotte,NC,35.1354006,-80.8571521,700.0
Sedgefield,Charlotte,NC,35.1957944,-80.8626864,700.0
Sherwood Forest,Charlotte,NC,35.1735457,-80.78517099999999,700.0
South End,Charlotte,NC,35.2125577,-80.85877719999999,700.0
SouthPark,Charlotte,NC,35.1484484,-80.8308959,700.0
Starmount,Charlotte,NC,35.1416926,-80.86822029999999,700.0
Steele Creek,Charlotte,NC,35.1340053,-81.0202533,700.0
Stonehaven,Charlotte,NC,35.1554966,-80.76301,700.0
University City,Charlotte,NC,36.037769,-79.034256,700.0
10th & Page,Charlottesville,VA,38.0351163,-78.49339979999999,400.0
Barracks/Rugby,Charlottesville,VA,38.0473175,-78.4894015,400.0
Belmont-Carlton,Charlottesville,VA,38.0231187,-78.46984859999999,400.0
Fifeville,Charlottesville,VA,38.0269891,-78.4950837,400.0
Fry's Spring,Charlottesville,VA,38.0167778,-78.51070829999999,400.0
Greenbrier,Charlottesville,VA,38.056636,-78.478036,400.0
Jefferson Park Avenue,Charlottesville,VA,38.0284661,-78.50991069999999,400.0
Johnson Village,Charlottesville,VA,38.018549,-78.5021861,400.0
Lewis Mountain,Charlottesville,VA,38.0402828,-78.51070829999999,400.0
Locust Grove,Charlottesville,VA,38.0445054,-78.4609854,400.0
Martha Jefferson,Charlottesville,VA,38.0244327,-78.44304869999999,400.0
The Meadows,Charlottesville,VA,38.060242,-78.4972339,400.0
North Downtown,Charlottesville,VA,38.0357496,-78.478036,400.0
Ridge Street,Charlottesville,VA,38.0244314,-78.4898782,400.0
Rose Hill,Charlottesville,VA,38.0384807,-78.48584989999999,400.0
Starr Hill,Charlottesville,VA,38.032093,-78.48727060000002,400.0
Venable,Charlottesville,VA,38.0432183,-78.50076570000002,400.0
Woolen Mills,Charlottesville,VA,38.020366,-78.4561895,400.0
Ballentine,Norfolk,VA,36.8591836,-76.2495053,400.0
Barraud Park,Norfolk,VA,36.8631486,-76.266739,400.0
Berkley,Norfolk,VA,36.8318147,-76.2838292,400.0
Bowling Green,Norfolk,VA,36.8549669,-76.2504465,400.0
Calvert Square,Norfolk,VA,36.8543526,-76.2761515,400.0
Chesterfield Heights,Norfolk,VA,36.843649,-76.2580499,400.0
Colonial Place,Norfolk,VA,36.8848699,-76.2910519,400.0
Coleman Place,Norfolk,VA,36.8680062,-76.2406701,400.0
Cottage Road Park,Norfolk,VA,36.912266,-76.2580499,400.0
Crown Point,Norfolk,VA,36.8606831,-76.223288,400.0
Diggs Park,Norfolk,VA,36.8276479,-76.26438399999999,400.0
Downtown Norfolk,Norfolk,VA,36.8500234,-76.2899071,400.0
East Ocean View,Norfolk,VA,36.9314775,-76.1972107,400.0
Estabrook,Norfolk,VA,36.8795919,-76.24660570000002,400.0
Fairmount Park Neighborhood,Norfolk,VA,36.8817539,-76.25660169999999,400.0
Fort Norfolk,Norfolk,VA,36.8569982,-76.30438509999999,400.0
Freemason District,Norfolk,VA,36.8521831,-76.2931461,400.0
Ghent,Norfolk,VA,36.864525,-76.29985719999999,400.0
Highland Park,Norfolk,VA,36.885357,-76.29859410000002,400.0
Huntersville,Norfolk,VA,36.86237,-76.2763291,400.0
Ingleside,Norfolk,VA,36.8447452,-76.2338762,400.0
Kensington,Norfolk,VA,36.8747997,-76.29859410000002,400.0
Larchmont-Edgewater,Norfolk,VA,36.8931404,-76.30872819999999,400.0
Lafayette / Winona,Norfolk,VA,36.8763459,-76.266739,400.0
Lafayette Shores,Norfolk,VA,36.884592,-76.26549539999999,400.0
Lakewood,Norfolk,VA,36.8883914,-76.26818709999999,400.0
Lamberts Point,Norfolk,VA,36.8754257,-76.3274423,400.0
Larrymore Lawns,Norfolk,VA,36.9115362,-76.22827199999999,400.0
Lindenwood,Norfolk,VA,36.8691071,-76.27253139999999,400.0
Lochhaven,Norfolk,VA,36.91459200000001,-76.3107752,400.0
Meadowbrook,Norfolk,VA,36.91348079999999,-76.3035527,400.0
North Ghent,Norfolk,VA,36.864525,-76.29985719999999,400.0
Norview,Norfolk,VA,36.89626459999999,-76.2375119,400.0
Ocean View,Norfolk,VA,36.9498693,-76.24632840000001,400.0
Park Place,Norfolk,VA,36.875272,-76.291355,400.0
Poplar Halls,Norfolk,VA,36.8512589,-76.2166046,400.0
Riverpoint,Norfolk,VA,36.8971952,-76.2870113,400.0
Riverview,Norfolk,VA,36.88332219999999,-76.28121949999999,400.0
Sewell's Point,Norfolk,VA,36.95486959999999,-76.3268873,400.0
Sewell's Garden,Norfolk,VA,36.8973738,-76.24356689999999,400.0
Shoop Park,Norfolk,VA,36.87152,-76.26132299999999,400.0
Talbot Park,Norfolk,VA,36.9037586,-76.27938499999999,400.0
Tidewater Park,Norfolk,VA,36.8507689,-76.28587259999999,400.0
Titustown,Norfolk,VA,36.9157671,-76.29352670000002,400.0
Villa Heights,Norfolk,VA,36.8730006,-76.2775995,400.0
Wards Corner Business District,Norfolk,VA,36.8500234,-76.2899071,400.0
West Freemason,Norfolk,VA,36.8507013,-76.2956985,400.0
Willoughby Spit,Norfolk,VA,36.9670915,-76.27855199999999,400.0
Young Terrace,Norfolk,VA,36.8565209,-76.2833915,400.0
Anderson Heights,Raleigh,NC,35.817114,-78.6412922,400.0
Avent West,Raleigh,NC,35.7654028,-78.7037778,400.0
Belvidere Park,Raleigh,NC,35.7981893,-78.6193035,400.0
Battery Heights,Raleigh,NC,35.7778573,-78.61788469999999,400.0
Bloomsbury,Raleigh,NC,35.8091078,-78.64909349999999,400.0
Boylan Heights,Raleigh,NC,35.7743696,-78.6519302,400.0
Cameron Park,Raleigh,NC,35.7861538,-78.6554759,400.0
Cameron Village,Raleigh,NC,35.7937621,-78.65760329999999,400.0
Capitol District,Raleigh,NC,35.7803584,-78.63912909999999,400.0
Capitol Heights,Raleigh,NC,35.7803584,-78.63912909999999,400.0
Country Club Hills,Raleigh,NC,35.8270811,-78.66114879999999,400.0
Coley Forest,Raleigh,NC,35.8227763,-78.67249369999999,400.0
Depot District,Raleigh,NC,35.7771695,-78.64517579999999,400.0
Drewry Hills,Raleigh,NC,35.8281518,-78.64412910000001,400.0
Fayetteville Street,Raleigh,NC,35.7737065,-78.63945079999999,400.0
Five Points Historic Neighborhoods,Raleigh,NC,35.8027175,-78.6416146,400.0
Glenwood-Brooklyn,Raleigh,NC,35.8633075,-78.7130681,400.0
Glenwood South,Raleigh,NC,35.7849869,-78.6490087,400.0
Glenwood Village,Raleigh,NC,35.8179287,-78.6644482,400.0
Hayes Barton,Raleigh,NC,35.8020411,-78.65263929999999,400.0
Hi-Mount,Raleigh,NC,35.8099068,-78.6292345,400.0
Historic Oakwood,Raleigh,NC,35.7844621,-78.6306531,400.0
Longview Gardens,Raleigh,NC,35.7819503,-78.59731,400.0
Madonna Acres,Raleigh,NC,35.7900075,-78.61469240000001,400.0
Maiden Lane,Raleigh,NC,35.7870576,-78.6631317,400.0
Moore Square,Raleigh,NC,35.7768175,-78.63583469999999,400.0
Mordecai District,Raleigh,NC,35.7967153,-78.6320717,400.0
North Carolina State University,Raleigh,NC,35.7846633,-78.6820946,400.0
Raleigh Country Club,Raleigh,NC,35.7762835,-78.5934961,400.0
